path,terms,scope
.gitattributes,MIT,Original software/configuration; third-party dependencies excluded
.gitignore,MIT,Original software/configuration; third-party dependencies excluded
CITATION.cff,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
LICENSE,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
LICENSES/CC-BY-4.0.txt,Licence notice,Legal text or rights notice; not a project research-data licence grant
LICENSES/CC-BY-NC-SA-4.0.txt,Licence notice,Legal text or rights notice; not a project research-data licence grant
LICENSES/LicenseRef-Manuscript.txt,Licence notice,Legal text or rights notice; not a project research-data licence grant
LICENSES/MIT.txt,Licence notice,Legal text or rights notice; not a project research-data licence grant
LICENSING.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
README.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
THIRD_PARTY_NOTICES.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
docs/DATA_SOURCES.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
docs/EXPERIMENTS.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
docs/FIGURE_DATA.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
docs/PUBLIC_RELEASE.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
docs/REPRODUCING.md,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig10_sensitivity.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig11_topology.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig9-11_Origin_data.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig9a_daily.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig9a_summary.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/Fig9b_energy.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/australian_main/SI_sections.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/bounded_record/Bounded_record_feedback.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/bounded_record/Contrasts.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/bounded_record/Daily.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/bounded_record/Energy.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/bounded_record/Recovery.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Controlled_figure_data.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03_behavior_method_theta0_sigma020.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03_behavior_surface.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03_capability_tree.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03_representative_utility_curve.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03_stepwise_consequence_equivalent_summary.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig03c_request_choice_classes.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig04_representative_causal_trace.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig05_control_contrast.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig05_externality_classification_sensitivity.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig05_penalty_behavior_effect.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig05_settlement_feedback_stage.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig06_dimension_robustness_theta0.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig07_beta_sensitivity.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig07_gate_materiality_distribution.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig07_gate_materiality_sensitivity.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig07_gate_reason_summary.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig07_paired_primary_distribution.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig08_physical_validity_summary.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/controlled/Fig08_trajectory_physical_fairness.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Behavior.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Blocks.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Contrasts.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Daily.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Energy.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Interaction.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/participant_adaptation/Participant_adaptation.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/profile_mapping/Contrasts.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/profile_mapping/Daily.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/profile_mapping/Energy.csv,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
figure_data/profile_mapping/Profile_mapping.xlsx,CC-BY-4.0,Contributors rights only; executable documentation examples also MIT; upstream rights excluded
